"Félév","Pedagógia szakas","Tantárgy","Műveltségterület","Tanulási Eredmény","",""
"2","7-8","KULT","Magyar nyelv és irodalom","Össze tudja foglalni a szöveg tartalmát, tud önállóan jegyzetet és vázlatot készíteni. Képes az olvasott szöveg tartalmával kapcsolatos saját véleményét szóban és írásban megfogalmazni, állításait indokolni.","",""
"2","7-8","KULT","Magyar nyelv és irodalom","Ismeri és a törekszik a szövegalkotásban a különböző mondatfajták használatára. Alkalmazza az írásbeli szövegalkotásban a mondatvégi, a tagmondatok, illetve mondatrészek közötti írásjeleket. A helyesírási segédkönyvek segítségével jártas az összetett szavak és gyakoribb mozaikszók helyesírásában.","",""
"2","7-8","KULT","Magyar nyelv és irodalom","Ismeri a tömegkommunikáció fogalmát, legjellemzőbb területeit.","",""
"2","7-8","KULT","Magyar nyelv és irodalom","Képes a könnyebben besorolható művek műfaji azonosítására, 8-10 műfajt műnemekbe tud sorolni, és a műnemek lényegét meg tudja fogalmazni. A különböző regénytípusok műfaji jegyeit felismeri, a szereplőket jellemezni tudja, a konfliktusok mibenlétét fel tudja tárni. Felismeri az alapvető lírai műfajok sajátosságait különböző korok alkotóinak művei alapján (elsősorban 19-20. századi alkotások). Felismeri néhány lírai mű beszédhelyzetét, a megszólító-megszólított viszony néhány jellegzetes típusát, azonosítja a művek tematikáját, meghatározó motívumait. Felfedez műfaji és tematikus-motivikus kapcsolatokat, azonosítja a zenei és ritmikai eszközök típusait, felismeri funkciójukat, hangulati hatásukat. Azonosít képeket, alakzatokat, szókincsbeli és mondattani jellegzetességeket, a lexika jelentésteremtő szerepét megérti a lírai szövegekben, megismeri a kompozíció meghatározó elemeit (pl. tematikus szerkezet, tér- és időszerkezet, logikai szerkezet, beszédhelyzet és változása). Konkrét szövegpéldán meg tudja mutatni a mindentudó és a tárgyilagos elbeszélői szerep különbözőségét, továbbá a közvetett és a közvetlen elbeszélésmód eltérését. Képes a drámákban, filmekben megjelenő emberi kapcsolatok, cselekedetek, érzelmi viszonyulások, konfliktusok összetettségének értelmezésére és megvitatására. Az olvasott, megtárgyalt művek erkölcsi kérdésfeltevéseire véleményében, erkölcsi ítéleteiben, érveiben tud támaszkodni.","",""
"2","7-8","KULT","Magyar nyelv és irodalom","Képes művek, műrészletek szöveghű felidézésére.","",""
"2","1-2","STEM","Matematika","Számok helye a számegyenesen. Számszomszédok értése. Természetes számok nagyság szerinti összehasonlítása.","",""
"2","1-2","STEM","Matematika","Matematikai jelek: +, –, •, :, =, <, >, ( ) ismerete, használata.","",""
"2","1-2","STEM","Matematika","Növekvő és csökkenő számsorozatok szabályának felismerése, a sorozat folytatása.","",""
"2","3-4","STEM","Matematika","Mennyiségek közötti összefüggések észrevétele tevékenységekben.","",""
"2","3-4","STEM","Matematika","Összeg, különbség, szorzat, hányados fogalmának ismerete. Műveletek tulajdonságainak, tagok, illetve tényezők felcserélhetőségének alkalmazása. Műveleti sorrend ismerete, alkalmazása.","",""
"2","3-4","STEM","Matematika","Szöveges feladat: a szöveg értelmezése, adatok kigyűjtése, megoldási terv, becslés, ellenőrzés, az eredmény realitásának vizsgálata.","",""
"2","3-4","STEM","Matematika","Többszörös, osztó, maradék fogalmának ismerete.","",""
"2","3-4","STEM","Matematika","Hosszúság, távolság és idő mérése (egyszerű gyakorlati példák).","",""
"2","3-4","STEM","Matematika","Háromszög, négyzet, téglalap, sokszög létrehozása egyszerű módszerekkel, felismerésük, jellemzőik.","",""
"2","3-4","STEM","Matematika","Kör fogalmának tapasztalati ismerete.","",""
"2","3-4","STEM","Matematika","A test és a síkidom közötti különbség megértése.","",""
"2","5-6","STEM","Matematika","Összehasonlításhoz szükséges kifejezések helyes használata.","",""
"2","5-6","STEM","Matematika","Racionális számok írása, olvasása, összehasonlítása, ábrázolása számegyenesen.","",""
"2","5-6","STEM","Matematika","Ellentett, abszolút érték, reciprok felírása.","",""
"2","5-6","STEM","Matematika","A hosszúság, terület, térfogat, űrtartalom, idő, tömeg szabványmértékegységeinek ismerete. Mértékegységek egyszerűbb átváltásai gyakorlati feladatokban. Algebrai kifejezések gyakorlati használata a terület, kerület, felszín és térfogat számítása során.","",""
"2","5-6","STEM","Matematika","Téglalap és a deltoid kerületének és területének kiszámítása.","",""
"2","5-6","STEM","Matematika","A téglatest felszínének és térfogatának kiszámítása.","",""
"2","5-6","STEM","Matematika","A tanult testek térfogatszámítási módjának ismeretében mindennapjainkban található testek térfogatának, űrmértékének meghatározása.","",""
"2","5-6","STEM","Matematika","Néhány szám számtani közepének kiszámítása.","",""
"2","7-8","STEM","Matematika","Biztos számolási ismeretek a racionális számkörben. A műveleti sorrendre, zárójelezésre vonatkozó szabályok ismerete, helyes alkalmazása. Az eredmény becslése, ellenőrzése., helyes és értelmes kerekítése.","",""
"2","7-8","STEM","Matematika","A tanuló a geometriai ismeretek segítségével jó ábrák készítése, pontos szerkesztések végzése.","",""
"2","7-8","STEM","Matematika","A tanult geometriai alakzatok tulajdonságainak ismerete (háromszögek, négyszögek belső és külső szögeinek összege, nevezetes négyszögek szimmetriatulajdonságai), ezek alkalmazása a feladatok megoldásában.","",""
"2","7-8","STEM","Matematika","Tengelyes és középpontos tükörkép, eltolt alakzat képének szerkesztése. Kicsinyítés és nagyítás felismerése hétköznapi helyzetekben (szerkesztés nélkül).","",""
"2","7-8","STEM","Matematika","Háromszögek, speciális négyszögek és a kör kerületének, területének számítása feladatokban.","",""
"2","7-8","STEM","Matematika","A tanult testek (háromszög és négyszög alapú egyenes hasáb, forgáshenger) térfogatképleteinek ismeretében a mindennapjainkban előforduló testek térfogatának, űrtartalmának kiszámítása.","",""
"2","9-10","STEM","Matematika","Térelemek ismerete; távolság és szög fogalma, mérése.","",""
"2","9-10","STEM","Matematika","Nevezetes ponthalmazok ismerete, szerkesztésük.","",""
"2","9-10","STEM","Matematika","Szimmetria ismerete, használata.","",""
"2","9-10","STEM","Matematika","Háromszögek tulajdonságainak ismerete (alaptulajdonságok, nevezetes vonalak, pontok, körök).","",""
"2","9-10","STEM","Matematika","Derékszögű háromszögre visszavezethető (gyakorlati) számítások elvégzése Pitagorasz-tétellel és a hegyesszögek szögfüggvényeivel; magasságtétel és befogótétel ismerete.","",""
"2","9-10","STEM","Matematika","Szimmetrikus négyszögek tulajdonságainak ismerete.","",""
"2","9-10","STEM","Matematika","A háromszögekről tanult ismeretek bővülésével a tanulók képesek számítási feladatokat elvégezni, és ezeket gyakorlati problémák megoldásánál alkalmazni.","",""
"2","9-10","STEM","Matematika","A szerkesztési feladatok során törekednek az igényes, pontos munkavégzésre.","",""
"2","11-12","STEM","Matematika","Egyszerű exponenciális és logaritmusos egyenletek felírása szöveg alapján, az egyenletek megoldása, önálló ellenőrzése.","",""
"2","11-12","STEM","Matematika","A mindennapok gyakorlatában szereplő feladatok megoldása a valós számkörben tanult új műveletek felhasználásával.","",""
"2","11-12","STEM","Matematika","Számológép értelmes használata a feladatmegoldásokban.","",""
"2","11-12","STEM","Matematika","Jártasság a háromszögek segítségével megoldható problémák önálló kezelésében.","",""
"2","11-12","STEM","Matematika","Hosszúság, szög, kerület, terület, felszín és térfogat kiszámítása.","",""
"2","11-12","STEM","Matematika","A geometriai és algebrai ismeretek közötti összekapcsolódás elemeinek ismerete: távolság, szög számítása a koordináta-rendszerben, kör és egyenes egyenlete, geometriai feladatok algebrai megoldása.","",""
"2","9-10","KULT","Mozgóképkultúra és médiaismeret","A tanuló felismeri és megnevezi a mozgóképi közlésmód, az írott sajtó és az online kommunikáció szövegszervező alapeszközeit.","",""
"2","9-10","KULT","Mozgóképkultúra és médiaismeret","az életkornak megfelelő szinten meg tudja különböztetni a fikció és a virtuális fogalmait egymástól.","",""
"2","9-10","KULT","Mozgóképkultúra és médiaismeret","jellemzi az internetes és mobilkommunikáció fontosabb sajátosságait, az internethasználat biztonságának problémáit.","",""
"2","9-10","KULT","Mozgóképkultúra és médiaismeret","az életkorának megfelelő szinten képes a különböző médiumokból és médiumokról szóló ismeretek összegyűjtésére, azok rendszerezésére, az önálló megfigyelésekre.","",""
"2","9-10","KULT","Mozgóképkultúra és médiaismeret","alkalmazza a mozgóképi szövegekkel, a média működésével kapcsolatos ismereteit a műsorválasztás során is.","",""
"2","1-2","Harmónia","Technika, életvitel és gyakorlat","A háztartási és közlekedési veszélyek tudatosulása, egészséges veszélyérzet.","",""
"2","1-2","Harmónia","Technika, életvitel és gyakorlat","A hétköznapjainkban használatos anyagok felismerése, tulajdonságaik megállapítása érzékszervi megfigyelések és vizsgálatok alapján, a tapasztalatok megfogalmazása.","",""
"2","1-2","Harmónia","Technika, életvitel és gyakorlat","Építés mintakövetéssel és önállóan.","",""
"2","1-2","Harmónia","Technika, életvitel és gyakorlat","Az elvégzett munkáknál alkalmazott eszközök biztonságos, balesetmentes használata.","",""
"2","1-2","Harmónia","Technika, életvitel és gyakorlat","Aktív részvétel, önállóság és együttműködés a tevékenységek során.","",""
"2","3-4","Harmónia","Technika, életvitel és gyakorlat","A gyalogosokra vonatkozó közlekedési szabályok tudatos készségszintű alkalmazása.","",""
"2","3-4","Harmónia","Technika, életvitel és gyakorlat","A kerékpár használatához szükséges ismeretek elsajátítása.","",""
"2","5-6","Harmónia","Technika, életvitel és gyakorlat","Tapasztalatok az ételkészítéssel, élelmiszerekkel összefüggő munkatevékenységekről.","",""
"2","5-6","Harmónia","Technika, életvitel és gyakorlat","A gyalogos és kerékpáros közlekedés KRESZ szerinti szabályainak, valamint a tömegközlekedés szabályainak biztonságos alkalmazása.","",""
"2","7-8","Harmónia","Technika, életvitel és gyakorlat","Elköteleződés a takarékos életvitel és a környezetkímélő technológiák mellett.","",""
"2","7-8","Harmónia","Technika, életvitel és gyakorlat","Alapvető tájékozottság a továbbtanulási lehetőségekről, elképzelés a saját felnőttkori életről, pályaválasztási lehetőségek mérlegelése.","",""
"2","7-8","Harmónia","Technika, életvitel és gyakorlat","Tapasztalatok, ismeretek, véleményalkotás a meglátogatott munkahelyekről, ezek összevetése a személyes tervekkel.","",""
"2","11-12","Harmónia","Technika, életvitel és gyakorlat","olyan gyakorlati tudás megszerzése, amelynek birtokában a tanulók könnyen eligazodhatnak a mindennapi élet számos területén.","",""
"2","11-12","Harmónia","Technika, életvitel és gyakorlat","Mindennapokban nélkülözhetetlen életvezetési és háztartási ismeretek, „háztartási praktikák” ismeretében a napi munka szakszerűbb, hatékonyabb, gazdaságosabb elvégzése.","",""
"2","11-12","Harmónia","Technika, életvitel és gyakorlat","A korszerű pénzkezelés lehetőségeinek és eszközeinek megismerése.","",""
"2","11-12","Harmónia","Technika, életvitel és gyakorlat","A munka és az aktivitás iránti elkötelezettség.","",""
"2","11-12","Harmónia","Technika, életvitel és gyakorlat","Az egész életen át tartó tanulás, a szaktudás, a műveltség fontosságának elfogadása és érvényesítése.","",""
"2","5-6","STEM","Természetismeret","Ismerje hazánk legjellemzőbb életközösségeit, termesztett növényeit, a házban és ház körül élő állatait. Értse az élő és élettelen környezeti tényezők kölcsönhatását. Ismerje fel a környezet-szervezet-életmód, valamint a szervek felépítése és működése közötti összefüggéseket.","",""
"2","5-6","STEM","Természetismeret","Tudjon tájékozódni a térképeken. Értelmezze helyesen a különböző tartalmú térképek jelrendszerét, használja fel az információszerzés folyamatában.","",""
"2","1-2","Harmónia","Testnevelés és sport","A gyakorláshoz szükséges térformák ismerete gyors és célszerű kialakításuk.","",""
"2","1-2","Harmónia","Testnevelés és sport","Fegyelmezett gyakorlás és odafigyelés a társakra, célszerű eszközhasználat.","",""
"2","1-2","Harmónia","Testnevelés és sport","Az alapvető hely- és helyzetváltoztató mozgások folyamatos végrehajtása egyszerű kombinációkban a tér- és energiabefektetés, valamint a mozgáskapcsolatok sokrétű felhasználásával.","",""
"2","1-2","Harmónia","Testnevelés és sport","A játékszabályok és a játékszerepek, illetve a játékfeladat alkalmazása.","",""
"2","1-2","Harmónia","Testnevelés és sport","Fejlődés az eszközök biztonságos és célszerű használatában.","",""
"2","1-2","Harmónia","Testnevelés és sport","A feladat-végrehajtások során pontosságra, célszerűségre, biztonságra törekvés.","",""
"2","1-2","Harmónia","Testnevelés és sport","Különböző intenzitású és tartamú mozgások fenntartása változó körülmények között, illetve játékban.","",""
"2","1-2","Harmónia","Testnevelés és sport","Széleskörű mozgástapasztalat a Kölyökatlétika játékaiban vagy a Kölyökatlétika jellegű játékokban.","",""
"2","1-2","Harmónia","Testnevelés és sport","Az alapvető manipulatív mozgáskészségek elnevezéseinek ismerete.","",""
"2","1-2","Harmónia","Testnevelés és sport","Az alapvető eséstechnikák felismerése. A tompítás mozdulatának végrehajtása esés közben.","",""
"2","1-2","Harmónia","Testnevelés és sport","A természeti környezetben történő sportolás néhány egészségvédelmi és környezettudatos viselkedési szabályának ismerete.","",""
"2","1-2","Harmónia","Testnevelés és sport","Az időjárási körülményeknek megfelelő öltözködés és az ahhoz kapcsolódó okok ismerete.","",""
"2","3-4","Harmónia","Testnevelés és sport","A nyújtó, erősítő, ernyesztő és légzőgyakorlatok pozitív hatásainak ismerete.","",""
"2","3-4","Harmónia","Testnevelés és sport","A gyakorláshoz szükséges egyszerűbb alakzatok, térformák önálló kialakítása.","",""
"2","3-4","Harmónia","Testnevelés és sport","Az alapvető tartásos és mozgásos elemek önálló bemutatása.","",""
"2","3-4","Harmónia","Testnevelés és sport","Stressz- és feszültségoldó gyakorlatok megismerése.","",""
"2","3-4","Harmónia","Testnevelés és sport","Az alapvető hely- és helyzetváltoztató mozgások kombinálása térben, szabályozott energiabefektetéssel, eszközzel, társakkal.","",""
"2","3-4","Harmónia","Testnevelés és sport","A természetes hely- és helyzetváltoztató mozgások megnevezése, valamint azok mozgástanulási szempontjainak (vezető műveletek) ismerete.","",""
"2","3-4","Harmónia","Testnevelés és sport","A rendszeres gyakorlás és siker mellett az önálló tanulás és fejlődés pozitív élményének megerősödése.","",""
"2","3-4","Harmónia","Testnevelés és sport","A sporteszközök szabadidős használatának állandósulása.","",""
"2","3-4","Harmónia","Testnevelés és sport","A képességszintnek megfelelő magasságú eszközökre helyes technikával történő fel- és leugrás.","",""
"2","3-4","Harmónia","Testnevelés és sport","Gurulások, átfordulások, fordulatok, dinamikus kar-, törzs- és lábgyakorlatok közben többnyire biztosan uralt egyensúlyi helyzet.","",""
"2","3-4","Harmónia","Testnevelés és sport","A 3 lépéses dobóritmus ismerete.","",""
"2","3-4","Harmónia","Testnevelés és sport","A különböző intenzitású és tartamú mozgások fenntartása játékos körülmények között, illetve játékban.","",""
"2","3-4","Harmónia","Testnevelés és sport","Az egyszerű védő és a támadó helyzetek felismerése.","",""
"2","3-4","Harmónia","Testnevelés és sport","A tolások, húzások, emelések és hordások erőkifejtésének optimalizálódása.","",""
"2","3-4","Harmónia","Testnevelés és sport","A sportszerű küzdésre, az asszertív viselkedésre törekvés.","",""
"2","3-4","Harmónia","Testnevelés és sport","Fejesugrással vízbe ugrás.","",""
"2","3-4","Harmónia","Testnevelés és sport","A tanult úszásnem fogalmi készletének ismerete.","",""
"2","3-4","Harmónia","Testnevelés és sport","A tanult szabadidős mozgásformák sporteszközei biztonságos használatának, alaptechnikai és taktikai elemeinek ismerete, alkalmazása.","",""
"2","3-4","Harmónia","Testnevelés és sport","A szabadtéren, illetve speciális környezetben történő sportolással együtt járó veszélyforrások ismerete.","",""
"2","5-6","Harmónia","Testnevelés és sport","A bemelegítésre, a sokoldalú előkészítésre, valamint a képességfejlesztésre alkalmas mozgásformák, gyakorlatok folyamatos, pontosságra törekvő és megfelelő intenzitású végrehajtása.","",""
"2","5-6","Harmónia","Testnevelés és sport","A tanévben alkalmazott gimnasztika alapvető szakkifejezéseinek ismerete.","",""
"2","5-6","Harmónia","Testnevelés és sport","Stressz- és feszültségoldó módszerek alkalmazása és a feszültségek önálló szabályozása.","",""
"2","5-6","Harmónia","Testnevelés és sport","Választott úszásnemben készségszintű, egy másikban 25 méteren vízbiztos, folyamatos úszás.","",""
"2","5-6","Harmónia","Testnevelés és sport","Ismeretek az úszástudás, a vízbiztonság szerepéről az egészség megőrzésében és az életvédelemben.","",""
"2","5-6","Harmónia","Testnevelés és sport","Külső visszajelzés információinak elfogadása és hasznosítása a különböző úszásnemek gyakorlásánál.","",""
"2","5-6","Harmónia","Testnevelés és sport","A sportjátékok játékszabályainak ismerete és alkalmazása.","",""
"2","5-6","Harmónia","Testnevelés és sport","A kar- és láblendítés szerepének ismerete az el- és felugrások eredményességében.","",""
"2","5-6","Harmónia","Testnevelés és sport","A testtömeg uralása nem szokványos támaszhelyzetekben és támaszgyakorlatokban – szükség esetén segítségadás mellett.","",""
"2","5-6","Harmónia","Testnevelés és sport","A tanult akadályleküzdési módok és feladatok biztonságos végrehajtása.","",""
"2","5-6","Harmónia","Testnevelés és sport","Alternatív környezetben űzhető sportok","",""
"2","5-6","Harmónia","Testnevelés és sport","A tanult alternatív környezetben űzhető sportágak alaptechnikai gyakorlatainak bemutatása.","",""
"2","5-6","Harmónia","Testnevelés és sport","A természeti környezetben történő sportolás egészségvédelmi és környezettudatos viselkedési szabályainak elfogadása és betartása.","",""
"2","7-8","Harmónia","Testnevelés és sport","Az összehangolt, rendezett testtartás kritériumainak való megfelelésre kísérletek.","",""
"2","7-8","Harmónia","Testnevelés és sport","Mellúszás az egyén adottságainak és képességeinek megfelelően.","",""
"2","7-8","Harmónia","Testnevelés és sport","Gazdagabb sportjáték-technikai és -taktikai készlet.","",""
"2","7-8","Harmónia","Testnevelés és sport","A csapatjátékhoz szükséges együttműködés és kommunikáció fejlődése.","",""
"2","7-8","Harmónia","Testnevelés és sport","A sportjátékokhoz tartozó test-test elleni küzdelem megtapasztalása és elfogadása.","",""
"2","7-8","Harmónia","Testnevelés és sport","A futás, a kocogás élettani jelentőségének ismerete.","",""
"2","7-8","Harmónia","Testnevelés és sport","A szekrény- és a támaszugrások bátor végrehajtása, a képességnek megfelelő magasságon.","",""
"2","7-8","Harmónia","Testnevelés és sport","A helyben választott rekreációs célú sportágakban és népi hagyományokra épülő sportolási formákban bővülő gyakorlási tapasztalat és fellelhető erősebb belső motiváció némelyik területén.","",""
"2","7-8","Harmónia","Testnevelés és sport","A természeti erők és a sport hasznos összekapcsolásának ismerete és az ezzel kapcsolatos előnyök, rutinok területén jártasság.","",""
"2","7-8","Harmónia","Testnevelés és sport","A szabadidőben végzett sportolás iránti pozitív beállítódás felmutatása.","",""
"2","7-8","Harmónia","Testnevelés és sport","A fájdalomtűrésben és az önfegyelemben érzékelhető fejlődés.","",""
"2","9-10","Harmónia","Testnevelés és sport","A technikák és taktikai megoldások többnyire tudatos, a játékszerepnek megfelelő megválasztása.","",""
"2","9-10","Harmónia","Testnevelés és sport","A játékfolyamat, a taktikai megoldások szóbeli elemzése, a fair és a csapatelkötelezett játék melletti állásfoglalás.","",""
"2","9-10","Harmónia","Testnevelés és sport","A mozgáselemek mozgásbiztonságának és a gyakorlás mennyiségének, minőségének oksági viszonyainak megértése és érvényesítése a gyakorlatban.","",""
"2","9-10","Harmónia","Testnevelés és sport","Célszerű gyakorlási és gyakorlásszervezési formációk, versenyszituációk, versenyszabályok ismerete.","",""
"2","9-10","Harmónia","Testnevelés és sport","Egy kijelölt táv megtételéhez szükséges idő és sebesség helyes becslésére, illetve a becsült értékek alapján a feladat pontos végrehajtása. Évfolyamonként önmagához mérten javuló futó-, ugró-, dobóteljesítmény.","",""
"2","9-10","Harmónia","Testnevelés és sport","A transzferhatás érvényesülése, más mozgásformák teljesítményének javulása az atlétikai képességek fejlődésének hatására.","",""
"2","9-10","Harmónia","Testnevelés és sport","A gerinc sérüléseinek leggyakoribb fajtái, és a gerinc és az ízületek védelemének legfontosabb szempontjainak ismerete.","",""
"2","9-10","Harmónia","Testnevelés és sport","A preventív stressz- és feszültségoldó gyakorlatok tudatos alkalmazása. A fittségi paraméterek ismerete, mérésük tesztek segítségével, ezzel kapcsolatosan önfejlesztő célok megfogalmazása az egészség-edzettség érdekében.","",""
"2","9-10","Harmónia","Testnevelés és sport","A rendszeres testmozgás pozitív hatásainak ismerete a káros szenvedélyek leküzdésében, az érzelem- és a feszültségszabályozásban.","",""
"2","11-12","Harmónia","Testnevelés és sport","Az adott sportjáték főbb versenykörülményeinek ismerete.","",""
"2","11-12","Harmónia","Testnevelés és sport","Erős figyelemmel végrehajtott technikai elemek, taktikai megoldások, szimulálva a valódi játékszituációkat.","",""
"2","11-12","Harmónia","Testnevelés és sport","Ötletjáték és két-három tudatosan alkalmazott formáció, a csapaton belüli szerepnek való megfelelés.","",""
"2","11-12","Harmónia","Testnevelés és sport","Kreativitást, együttműködést, tartalmas, asszertív társas kapcsolatokat szolgáló mozgásos játéktípusok ismerete és célszerű használata.","",""
"2","11-12","Harmónia","Testnevelés és sport","Az izmok mozgáshatárát bővítő aktív és passzív eljárások ismerete.","",""
"2","11-12","Harmónia","Testnevelés és sport","A futások, ugrások és dobások képességfejlesztő hatásának felhasználása más mozgásrendszerekben.","",""
"2","11-12","Harmónia","Testnevelés és sport","Uralom a test felett a sebesség, gyorsulás, tempóváltás, gurulás, csúszás, gördülés esetén.","",""
"2","11-12","Harmónia","Testnevelés és sport","Több támadási és védekezési megoldás, kombináció ismerete az álló és földharcban.","",""
"2","11-12","Harmónia","Testnevelés és sport","Az egészségük fenntartásához szükséges edzés, terhelés megtervezése. Tudatos védekezés a stresszes állapot ellen, feszültségek szabályozása.","",""
"2","11-12","Harmónia","Testnevelés és sport","A testtartásért felelős izmok erősítését és nyújtását szolgáló gyakorlatok ismerete, pontos gyakorlása, értő kontrollja.","",""
"2","5-6","KULT","Történelem, társadalmi és állampolgári ismeretek","A történelmet formáló, alapvető folyamatok, összefüggések felismerése (pl. a munka értékteremtő ereje) és egyszerű, átélhető erkölcsi tanulságok azonosítása.","",""
"2","5-6","KULT","Történelem, társadalmi és állampolgári ismeretek","Az előző korokban élt emberek, közösségek élet-, gondolkodás- és szokásmódjainak felidézése.","",""
"2","5-6","KULT","Történelem, társadalmi és állampolgári ismeretek","Ismerje fel, hogy az utókor a nagy történelmi személyiségek, nemzeti hősök cselekedeteit a közösségek érdekében végzett tevékenységek szempontjából értékeli.","",""
"2","5-6","KULT","Történelem, társadalmi és állampolgári ismeretek","Ismerje fel, hogy a vallási előírások, valamint az államok által megfogalmazott szabályok döntő mértékben befolyásolhatják a társadalmi viszonyokat és a mindennapokat.","",""
"2","5-6","KULT","Történelem, társadalmi és állampolgári ismeretek","Tudja, hogy az emberi munka nyomán elinduló termelés biztosítja az emberi közösségek létfenntartását.","",""
"2","5-6","KULT","Történelem, társadalmi és állampolgári ismeretek","Ismerje fel a társadalmi munkamegosztás jelentőségét, amely az árutermelés és pénzgazdálkodás, illetve a városiasodás kialakulásához vezet.","",""
"2","5-6","KULT","Történelem, társadalmi és állampolgári ismeretek","Tudja, hogy a társadalmakban eltérő jogokkal rendelkező és eltérő vagyoni helyzetű emberek alkotnak rétegeket, csoportokat.","",""
"2","5-6","KULT","Történelem, társadalmi és állampolgári ismeretek","Tudja, hogy a társadalmi, gazdasági, politikai és vallási küzdelmek számos esetben összekapcsolódnak.","",""
"2","5-6","KULT","Történelem, társadalmi és állampolgári ismeretek","Legyen képes a tanuló történelmi ismeretet meríteni hallott és olvasott szövegekből, különböző médiumok anyagából.","",""
"2","5-6","KULT","Történelem, társadalmi és állampolgári ismeretek","Legyen képes információt gyűjteni adott témához könyvtárban és múzeumban; olvasmányairól készítsen lényeget kiemelő jegyzetet.","",""
"2","5-6","KULT","Történelem, társadalmi és állampolgári ismeretek","Képes legyen szóbeli beszámolót készíteni önálló gyűjtőmunkával szerzett ismereteiről, és kiselőadást tartani.","",""
"2","5-6","KULT","Történelem, társadalmi és állampolgári ismeretek","Ismerje az időszámítás alapelemeit (korszak, évszázad, évezred) tudjon ez alapján kronológiai számításokat végezni. Ismerje néhány kiemelkedő esemény időpontját.","",""
"2","7-8","KULT","Történelem, társadalmi és állampolgári ismeretek","Az új- és modern korban élt emberek, közösségek élet-, gondolkodás- és szokásmódjainak azonosítása, a hasonlóságok és különbségek felismerése.","",""
"2","7-8","KULT","Történelem, társadalmi és állampolgári ismeretek","Ismerje a XIX-XX. század nagy korszakainak megnevezését, illetve egy-egy korszak főbb jelenségeit, jellemzőit, szereplőit, összefüggéseit.","",""
"2","7-8","KULT","Történelem, társadalmi és állampolgári ismeretek","Tudja, hogy Európához köthetők a modern demokratikus viszonyokat megalapozó szellemi mozgalmak és dokumentumok.","",""
"2","7-8","KULT","Történelem, társadalmi és állampolgári ismeretek","Tudja, hogy Magyarország a trianoni békediktátum következtében elvesztette területének és lakosságának kétharmadát, és közel öt millió magyar került kisebbségi sorba. Jelenleg közel hárommillió magyar nemzetiségű él a szomszédos államokban és a világ különböző részein, akik szintén a magyar nemzet tagjainak tekintendők.","",""
"2","7-8","KULT","Történelem, társadalmi és állampolgári ismeretek","Tudja, hogy a társadalmakban eltérő jogokkal rendelkező és vagyoni helyzetű emberek alkotnak rétegeket, csoportokat.","",""
"2","7-8","KULT","Történelem, társadalmi és állampolgári ismeretek","Tudjon különbséget tenni a demokrácia és a diktatúra között, s tudjon azokra példát mondani a feldolgozott történelmi korszakokból és napjainkból.","",""
"2","7-8","KULT","Történelem, társadalmi és állampolgári ismeretek","Ismerje fel a tanuló a hazánkat és a világot fenyegető globális veszélyeket, betegségeket, terrorizmust, munkanélküliséget.","",""
"2","7-8","KULT","Történelem, társadalmi és állampolgári ismeretek","Legyen képes különbséget tenni a történelem különböző típusú forrásai között, és legyen képes egy-egy korszakra jellemző képeket, tárgyakat, épületeket felismerni.","",""
"2","7-8","KULT","Történelem, társadalmi és állampolgári ismeretek","Tudja, hogy hol kell a fontos események forrásait kutatni, és legyen képes a megismert jelenségeket, eseményeket összehasonlítani.","",""
"2","7-8","KULT","Történelem, társadalmi és állampolgári ismeretek","Legyen képes a tanuló történelmi ismeretet meríteni és egyszerű következtetéseket megfogalmazni hallott és olvasott szövegekből, különböző médiumok anyagából.","",""
"2","7-8","KULT","Történelem, társadalmi és állampolgári ismeretek","Legyen képes információt gyűjteni adott témához könyvtárban és múzeumban; olvasmányairól készítsen lényeget kiemelő jegyzetet.","",""
"2","7-8","KULT","Történelem, társadalmi és állampolgári ismeretek","Legyen képes könyvtári munkával és az internet kritikus használatával forrásokat gyűjteni, kiselőadást tartani, illetve érvelni.","",""
"2","7-8","KULT","Történelem, társadalmi és állampolgári ismeretek","Legyen képes szóbeli beszámolót készíteni önálló gyűjtőmunkával szerzett ismereteiről, és kiselőadást tartani.","",""
"2","9-10","KULT","Történelem, társadalmi és állampolgári ismeretek","Tudja, hogy a történelmi jelenségeket, folyamatokat társadalmi, gazdasági, szellemi tényezők együttesen befolyásolják.","",""
"2","9-10","KULT","Történelem, társadalmi és állampolgári ismeretek","Ismerje a keresztény Magyar Királyság létrejöttének, virágzásának és hanyatlásának főbb állomásait, a kora újkor békés építőmunkájának eredményeit, valamint a polgári Magyarország kiépülésének meghatározó gondolatait és kulcsszereplőit.","",""
"2","9-10","KULT","Történelem, társadalmi és állampolgári ismeretek","Legyen képes a tanuló ismereteket meríteni, beszámolót, kiselőadást készíteni és tartani különböző írott forrásokból, történelmi kézikönyvekből, atlaszokból/szakmunkákból, statisztikai táblázatokból, grafikonokból, diagramokból és internetről.","",""
"2","9-10","KULT","Történelem, társadalmi és állampolgári ismeretek","Legyen képes különböző magatartástípusok és élethelyzetek megfigyelésére, ezekből következtetések levonására.","",""
"2","9-10","KULT","Történelem, társadalmi és állampolgári ismeretek","Legyen képes feltevéseket megfogalmazni történelmi személyiségek cselekedeteinek, viselkedésének mozgatórugóiról.","",""
